ISIN	Fullname	Index	TER	PEA?	AUM	Replication	Div. freq.	Last div	Quote	Ticker
US78355W2052	Guggenheim S&P 500® Top 50 ETF (USD)	S&P 500 Top 50 TR USD	0.20%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 159.14	XLG
US78355W1062	Guggenheim S&P 500® Equal Weight ETF (USD)	S&P 500 Equal Weighted TR USD	0.40%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 87.82	RSP
US78355W4033	Guggenheim S&P 500® Pure Growth ETF (USD)	S&P 500 Pure Growth TR USD	0.35%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 84.88	RPG
US78355W3043	Guggenheim S&P 500® Pure Value ETF (USD)	S&P 500 Pure Value TR USD	0.35%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 58.12	RPV
US06740Q2527	iPath® S&P 500 VIX Short-Term Futures™ ETN (USD)	S&P 500 VIX Short Term Futures TR USD	0.89%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 21.39	VXX
US4642895118	iShares 10+ Year Credit Bond ETF (USD)	BBgBarc US Long Credit TR USD	0.20%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 59.68	CLY
US4642886539	iShares 10-20 Year Treasury Bond ETF (USD)	ICE U.S. Treasury 10-20 Year Bond TR USD	0.15%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 135.04	TLH
US4642886463	iShares 1-3 Year Credit Bond ETF (USD)	BBgBarc Credit 1-3 Yr TR USD	0.20%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 105.06	CSJ
US4642874576	iShares 1-3 Year Treasury Bond ETF (USD)	ICE U.S. Treasury 1-3 Year Bond TR USD	0.15%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 84.52	SHY
US4642874329	iShares 20+ Year Treasury Bond ETF (USD)	ICE U.S. Treasury 20+ Year Bond TR USD	0.15%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 122.58	TLT
US4642886612	iShares 3-7 Year Treasury Bond ETF (USD)	ICE U.S. Treasury 3-7 Year Bond TR USD	0.15%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 123.20	IEI
US4642874402	iShares 7-10 Year Treasury Bond ETF (USD)	ICE U.S. Treasury 7-10 Year Bond TR USD	0.15%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 105.92	IEF
US46429B2916	iShares Aaa - A Rated Corporate Bond ETF (USD)	BBgBarc US Corp Aaa - A Cap TR USD	0.15%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 51.70	QLTA
US4642881662	iShares Agency Bond ETF (USD)	BBgBarc US Agency TR USD	0.20%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 113.03	AGZ
US4642871846	iShares China Large-Cap ETF (USD)	FTSE China 50 TR USD	0.74%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 36.40	FXI
US4642875649	iShares Cohen & Steers REIT ETF (USD)	Cohen&Steers US Realty MajorPort TR USD	0.35%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 100.23	ICF
US46432F8427	iShares Core MSCI EAFE ETF (USD)	MSCI EAFE IMI NR USD	0.08%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 55.16	IEFA
US46434G1031	iShares Core MSCI Emerging Markets ETF (USD)	MSCI EM IMI NR USD	0.14%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 44.41	IEMG
US46432F8344	iShares Core MSCI Total International Stock ETF (USD)	MSCI ACWI Ex USA IMI NR USD	0.11%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 52.16	IXUS
US4642872000	iShares Core S&P 500 ETF (USD)	S&P 500 TR USD	0.04%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 227.64	IVV
US4642875078	iShares Core S&P Mid-Cap ETF (USD)	S&P MidCap 400 TR	0.07%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 166.56	IJH
US4642878049	iShares Core S&P Small-Cap ETF (USD)	S&P SmallCap 600 TR USD	0.07%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 136.03	IJR
US4642871507	iShares Core S&P Total U.S. Stock Market ETF (USD)	S&P US TMI TR USD	0.03%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 51.97	ITOT
US4642872265	iShares Core U.S. Aggregate Bond ETF (USD)	BBgBarc US Agg Bond TR USD	0.05%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 108.79	AGG
US4642886208	iShares U.S. Credit Bond ETF (USD)	BBgBarc US Credit TR USD	0.15%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 110.14	CRED
US4642878460	iShares Dow Jones U.S. ETF (USD)	DJ US TR USD	0.20%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 113.56	IYY
US4642863199	iShares Emerging Markets Dividend ETF (USD)	DJ EM Select Dividend TR USD	0.49%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 36.40	DVYE
